,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,date
0,1646352000,0.9178,0.9031,0.9031,1243789.02,1135945.63,0.9147,direct,,2022-03-04
1,1646265600,0.9434,0.8903,0.8996,50363.49,45531.37,0.9041,invert_divide,ETH,2022-03-03
2,1646179200,0.9276,0.8889,0.8986,72731.17,65425.6,0.8996,invert_divide,ETH,2022-03-02
3,1646092800,0.9155,0.8596,0.8923,91898.1,82581.99,0.8986,invert_divide,ETH,2022-03-01
4,1646006400,0.8974,0.7895,0.8948,100133.52,89351.0,0.8923,invert_divide,ETH,2022-02-28
5,1645920000,0.9617,0.8771,0.8881,94262.88,84345.0,0.8948,invert_divide,ETH,2022-02-27
6,1645833600,0.9172,0.8727,0.8873,41184.91,36576.92,0.8881,invert_divide,ETH,2022-02-26
7,1645747200,0.9088,0.832,0.8934,74295.57,65924.59,0.8873,invert_divide,ETH,2022-02-25
8,1645660800,0.9338,0.7884,0.8843,194351.42,173639.19,0.8934,invert_divide,ETH,2022-02-24
9,1645574400,0.9409,0.8836,0.8834,71486.28,63218.69,0.8843,invert_divide,ETH,2022-02-23
10,1645488000,0.8913,0.8396,0.8846,84707.84,74832.03,0.8834,invert_divide,ETH,2022-02-22
11,1645401600,0.9453,0.8818,0.8837,109709.86,97046.94,0.8846,invert_divide,ETH,2022-02-21
12,1645315200,0.9316,0.868,0.8839,60632.87,53579.12,0.8837,invert_divide,ETH,2022-02-20
13,1645228800,0.9048,0.8622,0.8831,42842.32,37866.58,0.8839,invert_divide,ETH,2022-02-19
14,1645142400,0.9317,0.8742,0.8801,75303.06,66501.79,0.8831,invert_divide,ETH,2022-02-18
15,1645056000,0.9601,0.868,0.8797,87228.38,76768.99,0.8801,invert_divide,ETH,2022-02-17
16,1644969600,0.899,0.8593,0.8809,49284.64,43353.77,0.8797,invert_divide,ETH,2022-02-16
17,1644883200,0.8837,0.8095,0.8837,60851.37,53605.03,0.8809,invert_divide,ETH,2022-02-15
18,1644796800,0.8937,0.8502,0.8801,59420.5,52511.84,0.8837,invert_divide,ETH,2022-02-14
19,1644710400,0.9072,0.8712,0.8831,37575.78,33069.94,0.8801,invert_divide,ETH,2022-02-13
20,1644624000,0.9029,0.8647,0.8813,46015.33,40635.12,0.8831,invert_divide,ETH,2022-02-12
21,1644537600,0.9416,0.8665,0.8758,81779.94,72075.51,0.8813,invert_divide,ETH,2022-02-11
22,1644451200,0.9335,0.8718,0.8765,94014.08,82341.13,0.8758,invert_divide,ETH,2022-02-10
23,1644364800,0.8827,0.8251,0.8762,62173.41,54493.42,0.8765,invert_divide,ETH,2022-02-09
24,1644278400,0.9043,0.8488,0.8746,11568.21,10132.69,0.8759,invert_divide,BTC,2022-02-08
25,1644192000,0.8893,0.8301,0.8736,8925.38,7806.11,0.8746,invert_divide,BTC,2022-02-07
26,1644105600,0.8783,0.849,0.8738,3651.02,3189.36,0.8736,invert_divide,BTC,2022-02-06
27,1644019200,0.8846,0.864,0.8744,4486.3,3920.23,0.8738,invert_divide,BTC,2022-02-05
28,1643932800,0.8774,0.7798,0.8741,11461.98,10021.84,0.8744,invert_divide,BTC,2022-02-04
29,1643846400,0.881,0.8503,0.8855,8620.11,7534.99,0.8741,invert_divide,BTC,2022-02-03
30,1643760000,0.9345,0.8792,0.8856,6893.54,6104.21,0.8855,invert_divide,BTC,2022-02-02
31,1643673600,0.9003,0.8713,0.891,7609.38,6738.61,0.8856,invert_divide,BTC,2022-02-01
32,1643587200,0.8967,0.8551,0.8979,7389.89,6584.26,0.891,invert_divide,BTC,2022-01-31
33,1643500800,0.9098,0.8863,0.8982,3996.5,3588.52,0.8979,invert_divide,BTC,2022-01-30
34,1643414400,0.9105,0.8789,0.896,6017.53,5404.69,0.8982,invert_divide,BTC,2022-01-29
35,1643328000,0.9009,0.8323,0.8977,79365.52,71223.05,0.8974,invert_divide,ETH,2022-01-28
36,1643241600,0.932,0.8576,0.89,100963.78,90631.28,0.8977,invert_divide,ETH,2022-01-27
37,1643155200,0.9802,0.8686,0.8858,139083.73,123788.43,0.89,invert_divide,ETH,2022-01-26
38,1643068800,0.8997,0.8548,0.8845,8951.99,7925.71,0.8854,invert_divide,BTC,2022-01-25
39,1642982400,0.9187,0.7837,0.8828,212147.62,187511.89,0.8839,invert_divide,ETH,2022-01-24
40,1642896000,0.8877,0.8427,0.8848,10119.29,8929.37,0.8824,invert_divide,BTC,2022-01-23
41,1642809600,0.9609,0.8416,0.8834,192514.43,170245.26,0.8843,invert_divide,ETH,2022-01-22
42,1642723200,0.9978,0.8597,0.8843,20275.23,17910.6,0.8834,invert_divide,BTC,2022-01-21
43,1642636800,0.9417,0.8813,0.8816,8298.77,7338.96,0.8843,invert_divide,BTC,2022-01-20
44,1642550400,0.9009,0.8711,0.8833,7216.83,6362.4,0.8816,invert_divide,BTC,2022-01-19
45,1642464000,0.8896,0.8584,0.8768,6507.81,5748.05,0.8833,invert_divide,BTC,2022-01-18
46,1642377600,0.8968,0.8638,0.877,4582.18,4017.88,0.8768,invert_divide,BTC,2022-01-17
47,1642291200,0.8847,0.8682,0.8754,2690.38,2359.45,0.877,invert_divide,BTC,2022-01-16
48,1642204800,0.8895,0.866,0.8765,3651.92,3197.06,0.8754,invert_divide,BTC,2022-01-15
